,precision,recall,f1-score,support
Combined,0.75,1.0,0.8571428571428571,3.0
Control,1.0,0.5,0.6666666666666666,2.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.875,0.75,0.7619047619047619,5.0
weighted avg,0.85,0.8,0.7809523809523808,5.0
